Rank,Code,Name,Last_Date,Last_Close,Up_Prob,Recommendation
1,601698,中国卫通,2026-01-08,44.53,0.9509,Buy
2,600115,中国东航,2026-01-08,6.18,0.854,Buy
3,601006,大秦铁路,2026-01-08,5.13,0.7476,Buy
4,600585,海螺水泥,2026-01-08,22.91,0.7469,Buy
5,001391,国货航,2026-01-08,5.97,0.7461,Buy
6,603195,公牛集团,2026-01-08,41.28,0.7405,Buy
7,000876,新 希 望,2026-01-08,9.27,0.7381,Buy
8,000708,中信特钢,2026-01-08,15.87,0.7061,Buy
9,601816,京沪高铁,2026-01-08,5.1,0.7035,Buy
10,600930,华电新能,2026-01-08,6.36,0.698,Buy
11,300122,智飞生物,2026-01-08,19.47,0.6933,Buy
12,600803,新奥股份,2026-01-08,20.13,0.6816,Buy
13,600025,华能水电,2026-01-08,9.12,0.6667,Buy
14,601939,建设银行,2026-01-08,9.09,0.6566,Buy
15,601088,中国神华,2026-01-08,41.45,0.6557,Buy
16,300979,华利集团,2026-01-08,50.16,0.6504,Buy
17,002304,洋河股份,2026-01-08,62.3,0.6475,Buy
18,002001,新和成,2026-01-08,25.94,0.6405,Buy
19,603369,今世缘,2026-01-08,35.41,0.6258,Buy
20,688036,传音控股,2026-01-08,67.01,0.6225,Buy
21,603019,中科曙光,2026-01-08,93.0,0.6198,Buy
22,601390,中国中铁,2026-01-08,5.58,0.6186,Buy
23,605499,东鹏饮料,2026-01-08,278.87,0.6043,Buy
24,002600,领益智造,2026-01-08,16.43,0.5963,Buy
25,000983,山西焦煤,2026-01-08,7.16,0.5957,Buy
26,002475,立讯精密,2026-01-08,55.16,0.5912,Buy
27,600027,华电国际,2026-01-08,5.02,0.5903,Buy
28,600048,保利发展,2026-01-08,6.59,0.587,Buy
29,002625,光启技术,2026-01-08,50.37,0.5846,Buy
30,688981,中芯国际,2026-01-08,130.15,0.5826,Buy
31,601298,青岛港,2026-01-08,8.34,0.5733,Buy
32,300896,爱美客,2026-01-08,145.99,0.5714,Buy
33,600028,中国石化,2026-01-08,6.07,0.5702,Buy
34,600436,片仔癀,2026-01-08,171.72,0.5698,Buy
35,605117,德业股份,2026-01-08,88.73,0.5676,Buy
36,002422,科伦药业,2026-01-08,33.45,0.5675,Buy
37,600547,山东黄金,2026-01-08,41.38,0.5636,Buy
38,000063,中兴通讯,2026-01-08,39.99,0.5635,Buy
39,600900,长江电力,2026-01-08,27.26,0.5624,Buy
40,601808,中海油服,2026-01-08,14.3,0.5582,Buy
41,002648,卫星化学,2026-01-08,18.82,0.5543,Buy
42,000625,长安汽车,2026-01-08,11.86,0.5533,Buy
43,300408,三环集团,2026-01-08,46.99,0.5523,Buy
44,000938,紫光股份,2026-01-08,25.69,0.5509,Buy
45,300760,迈瑞医疗,2026-01-08,201.71,0.5493,Hold
46,002384,东山精密,2026-01-08,81.11,0.5492,Hold
47,000408,藏格矿业,2026-01-08,88.0,0.5486,Hold
48,600018,上港集团,2026-01-08,5.46,0.5485,Hold
49,601728,中国电信,2026-01-08,6.28,0.5479,Hold
50,600926,杭州银行,2026-01-08,15.75,0.5467,Hold
51,688223,晶科能源,2026-01-08,6.39,0.5438,Hold
52,603259,药明康德,2026-01-08,98.17,0.5409,Hold
53,688009,中国通号,2026-01-08,5.58,0.5407,Hold
54,002179,中航光电,2026-01-08,38.5,0.5355,Hold
55,600019,宝钢股份,2026-01-08,7.33,0.5333,Hold
56,601225,陕西煤业,2026-01-08,22.48,0.5279,Hold
57,601877,正泰电器,2026-01-08,29.63,0.5248,Hold
58,000999,华润三九,2026-01-08,29.02,0.5231,Hold
59,300274,阳光电源,2026-01-08,170.95,0.5226,Hold
60,002230,科大讯飞,2026-01-08,53.41,0.5221,Hold
61,601766,中国中车,2026-01-08,7.02,0.519,Hold
62,600039,四川路桥,2026-01-08,10.3,0.5187,Hold
63,601077,渝农商行,2026-01-08,6.5,0.517,Hold
64,300413,芒果超媒,2026-01-08,25.05,0.5159,Hold
65,300347,泰格医药,2026-01-08,60.61,0.5157,Hold
66,601607,上海医药,2026-01-08,17.84,0.515,Hold
67,600886,国投电力,2026-01-08,13.29,0.5139,Hold
68,600415,小商品城,2026-01-08,16.19,0.5134,Hold
69,601186,中国铁建,2026-01-08,7.8,0.5122,Hold
70,601998,中信银行,2026-01-08,7.41,0.5114,Hold
